epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,955.778,1.25329,1.35787,1.13999,0.69435,0.55435,0.57881,0.26863,1.7238,1.34426,1.19706,0.00999322,0.00333107,0.00999322,0.00333107,0.00999322,0.00333107,0.00999322,0.00333107
2,1943.6,1.25725,0.75615,1.16151,0.72265,0.51494,0.53571,0.24131,1.8491,1.27508,1.30884,0.0195974,0.00653245,0.0195974,0.00653245,0.0195974,0.00653245,0.0195974,0.00653245
3,2840.25,1.28683,0.75095,1.20414,0.56576,0.55499,0.51946,0.2269,1.82815,1.50283,1.36945,0.0288055,0.00960183,0.0288055,0.00960183,0.0288055,0.00960183,0.0288055,0.00960183
4,3665.07,1.27562,0.72982,1.20515,0.73319,0.61856,0.61246,0.27025,1.81624,1.1996,1.3156,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4438.79,1.23753,0.67319,1.17827,0.76015,0.61475,0.66986,0.30638,1.74358,1.17475,1.2744,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5177.09,1.21252,0.63818,1.16469,0.76668,0.64463,0.687,0.32415,1.71089,1.07884,1.2599,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5908.48,1.20025,0.61874,1.15619,0.79237,0.66052,0.69644,0.32583,1.71131,1.01195,1.24113,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6621.95,1.19148,0.59901,1.14659,0.79493,0.68086,0.73356,0.35024,1.65628,0.99885,1.20575,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,7326.49,1.17149,0.58113,1.13811,0.79203,0.69728,0.73963,0.34903,1.6219,1.02083,1.19365,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,8011.08,1.16649,0.57013,1.13445,0.83182,0.6993,0.74198,0.35853,1.65059,0.92876,1.1924,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,8693.31,1.16035,0.56506,1.12922,0.8231,0.72473,0.76733,0.37395,1.58689,0.91924,1.1772,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,9390.56,1.14965,0.55487,1.1266,0.83438,0.69866,0.75364,0.37172,1.60672,0.92122,1.17531,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,10079.1,1.14631,0.55021,1.12219,0.83782,0.7061,0.76476,0.38569,1.55698,0.88798,1.15792,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,10769.1,1.13922,0.54251,1.12246,0.83404,0.71901,0.77021,0.38656,1.54368,0.89522,1.15604,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,11440.2,1.13404,0.53466,1.11456,0.82184,0.75143,0.78422,0.398,1.55405,0.89472,1.15495,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,12110.4,1.12712,0.5251,1.11166,0.84576,0.75842,0.79916,0.40536,1.51799,0.86174,1.1408,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,12775.5,1.12297,0.5201,1.1085,0.86097,0.74802,0.81105,0.41275,1.51682,0.83538,1.14812,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,13440.4,1.11659,0.51466,1.10561,0.84082,0.76562,0.81143,0.41299,1.52305,0.83579,1.14211,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,14099.9,1.11095,0.51063,1.10491,0.85814,0.74825,0.80557,0.41882,1.51011,0.81722,1.13576,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,14770.4,1.1107,0.50689,1.10379,0.84391,0.76305,0.80457,0.41664,1.49961,0.80084,1.13384,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,15414.7,1.10516,0.50106,1.09883,0.83951,0.75969,0.80817,0.41941,1.50358,0.80225,1.13369,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,16067.4,1.10177,0.49778,1.09857,0.85098,0.76965,0.82081,0.42481,1.49278,0.79569,1.13075,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,16724.1,1.09899,0.49749,1.09177,0.85403,0.76414,0.82532,0.42989,1.48433,0.78777,1.12501,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,17380.7,1.08889,0.48992,1.09064,0.86157,0.7705,0.82581,0.4344,1.47986,0.78673,1.11849,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,18040.7,1.0836,0.48478,1.08622,0.8468,0.78131,0.82578,0.43123,1.47714,0.77699,1.12274,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,18687.5,1.08281,0.47952,1.08611,0.86017,0.78214,0.82911,0.43338,1.48922,0.77186,1.12779,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,19343.9,1.08052,0.47826,1.08648,0.85673,0.77686,0.83319,0.43716,1.47581,0.76026,1.11997,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,19992.5,1.08028,0.47588,1.08313,0.86657,0.77686,0.83009,0.43699,1.4684,0.75313,1.11598,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,20633.1,1.07496,0.47032,1.07996,0.85323,0.77978,0.83146,0.43941,1.46383,0.75903,1.11369,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,21285.1,1.07265,0.47067,1.08288,0.86402,0.77156,0.83203,0.44194,1.46456,0.75017,1.11169,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,21923.3,1.05925,0.45906,1.07386,0.86304,0.77432,0.83373,0.4434,1.46041,0.7501,1.10633,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,22568.3,1.06843,0.46078,1.07577,0.85879,0.77813,0.83478,0.44215,1.46316,0.75026,1.10758,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,23215,1.05665,0.45547,1.07411,0.8593,0.78512,0.83869,0.4447,1.46048,0.74719,1.11024,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,23857.8,1.05521,0.45438,1.07414,0.85498,0.78706,0.84201,0.44555,1.45753,0.74503,1.10879,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,24499.8,1.04714,0.44857,1.06802,0.85925,0.78894,0.84483,0.44793,1.45736,0.74314,1.10672,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,25145.4,1.04888,0.44631,1.06913,0.85275,0.7972,0.8477,0.4495,1.45697,0.73956,1.10603,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,25787.1,1.03933,0.4406,1.06354,0.8514,0.79406,0.84696,0.45041,1.45363,0.73555,1.10393,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,26420,1.03515,0.43653,1.06023,0.85427,0.79375,0.84638,0.45027,1.45402,0.73308,1.1037,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,27057.6,1.02756,0.43237,1.06011,0.85849,0.79452,0.84609,0.45096,1.45449,0.73244,1.10391,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,27685.4,1.02362,0.43116,1.05723,0.85868,0.7953,0.84627,0.45078,1.45572,0.73206,1.10444,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,28327,1.00152,0.38172,1.08183,0.86411,0.79148,0.84758,0.45141,1.45592,0.73051,1.10438,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,28967,0.99504,0.37469,1.07748,0.85994,0.79235,0.84726,0.45185,1.457,0.73024,1.10475,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,29612.3,0.98604,0.37189,1.0726,0.85688,0.79275,0.84683,0.45124,1.45724,0.73047,1.10497,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,30255.5,0.97819,0.36605,1.07258,0.86197,0.79,0.84432,0.45115,1.45698,0.73049,1.10527,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,30893.2,0.97198,0.3626,1.06473,0.85923,0.7916,0.84533,0.45111,1.45744,0.72979,1.10552,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,31526.3,0.96285,0.35577,1.06293,0.85911,0.79148,0.84513,0.45144,1.45776,0.72884,1.10596,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,32156.8,0.95336,0.35198,1.05763,0.85977,0.79125,0.84517,0.45181,1.45818,0.7287,1.10621,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,32797.9,0.94838,0.34703,1.05464,0.85964,0.79042,0.8456,0.45249,1.45893,0.72914,1.10661,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,33431.7,0.94207,0.34448,1.05078,0.86124,0.7883,0.84487,0.45344,1.45975,0.72922,1.10653,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,34070.1,0.93404,0.34113,1.0468,0.86403,0.78778,0.84424,0.45278,1.4606,0.72927,1.1068,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
